ticker,period_end_date,fundamental_score,quality_score,growth_score
VEI,2019-03-31,-0.6577304632653133,-0.5874922318581356,-0.868445157486846
FRO,2019-03-31,-0.786048028021169,-0.6924402790345788,-1.0668712749809397
DNB,2019-03-31,-1.4586042779682644,-1.9672734200961222,0.06740314841530906
SALM,2019-06-30,1.003789921782782,1.265162019170984,0.21967362961817574
AFG,2019-06-30,0.8545777470683755,1.0623799186785363,0.23117123223789307
YAR,2019-06-30,0.8240047377248738,-0.24713315910028502,4.0374184282003505
GJF,2019-06-30,0.3785652109253022,0.3256344008892076,0.5373576410335861
ATEA,2019-06-30,0.3714825189545007,0.5621963459763827,-0.20065896211114528
PROT,2019-06-30,0.348405779214161,0.8410763719897579,-1.12960599911263
EQNR,2019-06-30,0.31086172962002906,0.22543651052143468,0.5671373869158122
MOWI,2019-06-30,0.1937102374396619,0.2797953626054034,-0.06454513805756253
TOM,2019-06-30,0.1750402559142254,0.11585244148929857,0.3526036991890058
AKRBP,2019-06-30,0.12807041983728223,0.3180823979877034,-0.4419655146139812
KOG,2019-06-30,0.09900939181954194,0.01271783435357485,0.3578840642174432
ORK,2019-06-30,0.06965809425010945,0.11843464491513352,-0.07667155774496277
VEND,2019-06-30,-0.02890068389231236,0.0851633970095295,-0.37109292659783794
ELK,2019-06-30,-0.03748645895737389,0.0761488771914187,-0.37839246740375165
SUBC,2019-06-30,-0.1046782357079331,0.015279309857284727,-0.46455087240358656
BRG,2019-06-30,-0.16869676579146486,-0.17538421126854303,-0.14863442936023047
NOD,2019-06-30,-0.23874782420249646,-0.08824096762752368,-0.6902683939274148
STB,2019-06-30,-0.2698282488931218,-0.4264840924792026,0.20013928186512064
VEI,2019-06-30,-0.31606289709603724,-0.33322672120469754,-0.2645714247700563
TEL,2019-06-30,-0.3970322800504833,-0.41835433221612045,-0.33306612355357196
NHY,2019-06-30,-0.41890249601165985,-0.2583381484296742,-0.900595538757617
MPCC,2019-06-30,-0.6726630976038661,-0.8968841301384881,
FRO,2019-06-30,-0.7141535587526948,-0.5895956221198099,-1.0878273686513498
